帧编号阶段	帧id	帧名	内容
0	充电辨识阶段	CRM	充电桩辨识报文	BMS辨识结果:未辨识!
1	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：49,数据包数:7.传输包的PGN为0x00 00.
2	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：7.多帧传输下一数据包编号为:1.传输包的PGN为0x00 200.
3	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
4	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
5	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第3包.
6	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第4包.
7	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第5包.
8	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第6包.
9	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第7包.
10	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：1792,数据包数:255.传输包的PGN为0x00 200.
11	充电辨识阶段	CRM	充电桩辨识报文	BMS辨识结果:成功辨识...
12	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：13,数据包数:2.传输包的PGN为0x00 00.
13	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x00 600.
14	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
15	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
16	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x00 600.
17	充电辨识阶段	CRM	充电桩辨识报文	BMS辨识结果:成功辨识...
18	充电配置阶段	CML	充电桩时间同步报文	充电桩最高输出电压： 500V.充电桩最低输出电压:200V.充电桩最大输出电流-120A.充电桩最小输出电流-4A.
19	充电配置阶段	CTS	充电桩最大输出能力报文	
20	充电配置阶段	CML	充电桩时间同步报文	充电桩最高输出电压： 500V.充电桩最低输出电压:200V.充电桩最大输出电流-120A.充电桩最小输出电流-4A.
21	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：13,数据包数:2.传输包的PGN为0x00 00.
22	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x00 600.
23	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
24	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
25	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x00 600.
26	充电配置阶段	CML	充电桩时间同步报文	充电桩最高输出电压： 500V.充电桩最低输出电压:200V.充电桩最大输出电流-120A.充电桩最小输出电流-4A.
27	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
28	充电配置阶段	CTS	充电桩最大输出能力报文	
29	充电配置阶段	CML	充电桩时间同步报文	充电桩最高输出电压： 500V.充电桩最低输出电压:200V.充电桩最大输出电流-120A.充电桩最小输出电流-4A.
30	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
31	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
32	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
33	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
34	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
35	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
36	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
37	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
38	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
39	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
40	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
41	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
42	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
43	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
44	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
45	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
46	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
47	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
48	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
49	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
50	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
51	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
52	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
53	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
54	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
55	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
56	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
57	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
58	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
59	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
60	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
61	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
62	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
63	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
64	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
65	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
66	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
67	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
68	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
69	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
70	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
71	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
72	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
73	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
74	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
75	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
76	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
77	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
78	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
79	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
80	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
81	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
82	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
83	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
84	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--未就绪!
85	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
86	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
87	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
88	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
89	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
90	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
91	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
92	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
93	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
94	充电配置阶段	CRO	充电桩准备就绪报文	充电桩充电就绪状态--准备就绪...
95	充电配置阶段	BRO	BMS准备就绪报文	BMS充电就绪状态--准备就绪...
96	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
97	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
98	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
